"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"
pgc|l|b|sgL|sgB|absB|Diam|BAratio|PA|T|V_GSR|Dist|sgX|sgY|sgZ|objname|GrpID|Filament|al1950|de1950
%7s|%9.4f|%9.4f|%9.4f|%9.4f|%7.2f|%6.2f|%5.2f|%5d|%3d|%7d|%7d|%7d|%7d|%7d|%14s|%5d|%5s|%9.4f|%9.4f
---|deg|deg|deg|deg|mag|kpc||deg||km/s|km/s|km/s|km/s|km/s||||h|deg
"The Catalogue of Principal Galaxies (PGC) Number"|"Galactic longitude"|"Galactic latitude"|"Supergalactic longitude"|"Supergalactic latitude"|"Absolute magnitude at distance in km/s / 100"|"Intrinsic diameter in kpc at distance in km/s / 100"|"Ratio minor to major axis diameters"|"Position angle on sky N through E"|"Morphological type; see RC3"|"Velocity in Galactic standard of rest; see RC3"|"Distance in km/s; flow model within 3000 km/s"|"SGX component of distance"|"SGY component of distance"|"SGZ component of distance"|"Common name"|"Internal group identifier"|"Internal filament identifier"|"Right Ascension (B1950)"|"Declination (B1950)"
5096|128.2302|-12.3890|346.5668|7.5034|-19.71|22.07|0.34|125||6460|6460|6229|-1489|844|UGC930|-1|862.0|1.3462|49.8889
5098|130.6390|-29.1327|330.2827|2.7608|-21.26|60.31|1.00||-4|5079|5188|4500|-2569|250|"NGC     507"||825.0|1.3474|32.9958
5099|130.6382|-29.1087|330.3063|2.7652|-19.52|19.74|1.00||-4|5671|5247|4552|-2597|253|"NGC     508"||825.0|1.3476|33.0197
5101|137.1096|-55.2892|304.8648|-5.0439|-15.78|7.61|0.92||9|2417|2172|1237|-1775|-191|"UGC 00942"||52.0|1.3520|6.4306
5108|130.7043|-29.3300|330.0962|2.6744|-18.76|11.68|0.58|16||4711|5151|4460|-2566|240|"IC     1689"||825.0|1.3497|32.7925
5112|220.0402|-82.7821|270.9445|-13.4777|-18.86|15.15|0.69|169|2|5561|5561|89|-5407|-1296|"ESO  413-  2"||713.0|1.3583|-28.0489
5120|263.7010|-79.4491|263.5590|-14.7640|-19.54|24.84|0.55||2|5620|5620|-610|-5400|-1432|"NGC     526A"||713|1.3617|-35.3256
5128|263.9059|-79.4143|263.5059|-14.7686|-19.35|28.32|0.23|14|1|5710|5710|-625|-5486|-1456|"NGC     527"||713.0|1.3614|-35.3767
5129|130.7065|-29.0668|330.3569|2.7127|-18.58|6.63|0.78|||5176|5198|4512|-2568|246|"MCG  5- 4- 48"||825.0|1.3526|33.0528
5132|130.6138|-28.4779|330.9272|2.8827|-19.57|23.96|0.22|116|2|4984|5178|4520|-2513|260|"NGC     512"||825.0|1.3529|33.6472
5133|130.4773|-27.6253|331.7525|3.1322|-17.54|6.08|0.93|||4882|4882|4294|-2308|267|"MCG  6- 4- 12"||825.0|1.3529|34.5083
5134|130.6271|-28.5183|330.8890|2.8651|-18.78|8.95|1.00||8|5280|5208|4544|-2531|260|"MCG  6- 4- 14"||825.0|1.3533|33.6056
5135|263.7630|-79.4565|263.5540|-14.7511|-18.82|19.03|0.49|112|-4|5676|5676|-617|-5454|-1445|"NGC     526"||713|1.3606|-35.3281
5139|135.1432|-49.1802|310.8660|-3.3285|-19.44|24.00|0.83|110|5|2568|2264|1479|-1710|-131|"NGC     514"|907|52.0|1.3569|12.6561
5145|141.5254|-63.5459|296.6251|-7.5065|-18.40|13.17|0.35|72|-2|5477|5423|2409|-4807|-708|"MCG  0- 4-114"||710.0|1.3597|-2.1206
5147|136.1113|-52.1024|308.0077|-4.2125|-16.97|8.91|0.44|127|3|2493|2211|1358|-1738|-162|"IC      101"||52.0|1.3585|9.6703
5148|136.2378|-52.4736|307.6433|-4.3207|-17.56|9.95|0.35|44|0|2520|2151|1310|-1699|-162|"NGC     516"||52.0|1.3585|9.2911
5149|160.2530|-76.9328|282.2610|-11.2221|-18.37|12.37||||5938|5938|1236|-5692|-1156|||712|1.3648|-16.7686
5154|262.1957|-79.6567|263.9132|-14.7608|-19.50|20.58|0.85|36|2|6000|6000|-616|-5769|-1529|"ESO  352- 69"||713.0|1.3658|-34.9864
5159|298.4502|-48.2216|228.7003|-17.2659|-19.60|22.87||||10472|10472|-6601|-7512|-3108||||1.3792|-68.8800
5160|298.4463|-48.2347|228.7143|-17.2661|-19.61|22.98||||10502|10502|-6618|-7535|-3117||||1.3792|-68.8667
5161|136.3744|-52.6803|307.4435|-4.4204|-17.37|10.33|0.35|98|1|2813|2182|1323|-1728|-168|"NGC     518"||52.0|1.3611|9.0717
5164|141.5572|-63.4230|296.7488|-7.5226|-18.40|10.44|0.44||1|5372|5412|2414|-4791|-709|"MCG  0- 4-116"||710.0|1.3629|-2.0067
5166|298.4404|-48.2543|228.7352|-17.2666|-19.59|22.75||||10442|10442|-6577|-7495|-3099||||1.3792|-68.8467
5171|144.6885|-67.3749|292.7028|-8.6453|-18.13|13.54|0.40||1|5324|5324|2031|-4856|-800|"MCG -1- 4- 36"||711.0|1.3650|-6.1667
5174|130.7352|-28.5720|330.8503|2.7630|-20.21|10.42|0.49|75|6|5986|5279|4605|-2569|254|"NGC     513"||825.0|1.3604|33.5389
5182|141.5705|-63.3115|296.8612|-7.5304|-18.26|8.70|0.60|140|-3|5469|5422|2428|-4795|-711|"NGC     519"||710.0|1.3655|-1.9014
5185|133.2039|-41.1001|318.7372|-1.0286|-19.57|23.92|0.87||1|10313|10313|7750|-6801|-185|"CGCG 459- 47"||914.0|1.3644|20.8497
5186|158.0210|-76.0761|283.2620|-11.0226|-20.32|26.54|0.87|85|0|5869|5869|1321|-5607|-1122|"MCG -3- 4- 61"||712.0|1.3667|-15.7667
5187|143.6302|-66.0560|294.0609|-8.3138|-18.37|21.32|0.79|60|4|5934|5934|2393|-5362|-858|"MCG -1- 4- 37"||711.0|1.3667|-4.7833
5190|139.6911|-60.0582|300.1370|-6.6313|-20.99|49.18|0.91|20|4|5083|5450|2718|-4682|-629|"NGC     521"||711.0|1.3666|1.4714
5193|138.6932|-58.0573|302.1340|-6.0592|-19.43|21.79|0.40|130|4|2352|2152|1138|-1813|-227|"NGC     520"|901|52.0|1.3665|3.5369
5194|134.3111|-45.6016|314.3669|-2.3810|-16.19|10.07|0.13|26|6|2519|2079|1453|-1485|-86|"UGC     958"||52.0|1.3648|16.2769
5198|137.0600|-54.2386|305.9150|-4.9441|-16.34|8.31|0.26|91|5|2820|2209|1291|-1783|-190|"UGC     964"|912|52.0|1.3657|7.4622
5201|130.8352|-28.8891|330.5498|2.6283|-19.39|20.13|0.79||-2|4297|5110|4445|-2510|234|"NGC     515"||825.0|1.3637|33.2125
5210|141.6590|-63.2438|296.9288|-7.5713|-19.65|23.24|0.29|134|0|5062|5382|2416|-4757|-709|"NGC     530"||710.0|1.3691|-1.8478
5214|130.8625|-28.9294|330.5136|2.5986|-19.50|29.78|0.50|20|-2|4313|5111|4444|-2514|232|"NGC     517"||825.0|1.3651|33.1692
5215|272.5887|-76.9691|260.4457|-15.3733|-18.88|15.72|0.89|142|-2|5767|5767|-923|-5483|-1529|"NGC     534"||713.0|1.3750|-38.3883
5218|136.3402|-52.0043|308.1175|-4.3445|-17.62|16.82|0.16|33|4|2898|2091|1287|-1641|-158|"NGC     522"|913|52.0|1.3691|9.7372
5221|139.8717|-60.1625|300.0337|-6.7233|-18.78|15.18||||4950|5437|2702|-4675|-637|"IC     1694"||711.0|1.3704|1.3475
5222|136.5049|-52.4512|307.6789|-4.4811|-20.29|21.73|1.00||-2|2504|2247|1369|-1773|-176|"NGC     524"|908|52.0|1.3695|9.2792
5231|141.7711|-63.2595|296.9120|-7.6214|-19.04|14.89|0.91|10|-4|5882|5464|2451|-4829|-725|"IC     1696"||710.0|1.3721|-1.8772
5232|136.4786|-52.2879|307.8409|-4.4521|-16.55|7.10|0.45|5|-2|1712|1607|983|-1265|-125|"NGC     525"||52.0|1.3707|9.4422
5233|298.3671|-48.2122|228.7008|-17.3220|-20.32|41.77|0.85||0|10362|10362|-6529|-7431|-3085|"ESO   52-  1"|||1.3894|-68.8783
5236|134.6593|-46.2557|313.7436|-2.6953|-17.75|7.51|0.83||5|4271|4271|2950|-3082|-201|"CGCG 459- 49"||717.5|1.3729|15.5894
5238|140.6211|-61.2646|298.9274|-7.1013|-19.81|23.89|0.60|110||8768|8768|4208|-7616|-1084|"IC     1697"||754.0|1.3747|0.1878
5239|144.1051|-66.1674|293.9370|-8.4992|-19.65|18.90|0.76|||5768|5768|2314|-5214|-852|"MCG -1- 4- 40"||711.0|1.3767|-4.9500
5250|134.9891|-47.2071|312.8209|-3.0225|-18.65|20.68|0.81|100|4|6458|6458|4383|-4731|-341|"IC      107"||714.0|1.3759|14.6125
5252|139.6824|-59.4681|300.7308|-6.6147|-18.23|14.15|0.63|25|5|6208|5563|2823|-4750|-641|"UGC     981"||711.0|1.3762|2.0431
5253|272.1852|-76.9477|260.4941|-15.4544|-18.71|16.54|0.78|173|-3|5933|5933|-945|-5640|-1581|"NGC     544"||713.0|1.3825|-38.3533
5255|272.1093|-76.9662|260.5203|-15.4541|-19.44|28.09|0.33|35|3|6504|6504|-1033|-6183|-1733|"NGC     546"||713.0|1.3828|-38.3283
5257|255.7156|-80.3792|265.2932|-14.7574|-19.52|18.84|0.49|158|0|6915|6915|-549|-6664|-1761|"ESO  352- 73"||713.0|1.3826|-33.6681
5258|141.9295|-63.1340|297.0372|-7.6953|-18.47|18.41|0.34|130|-1|4909|5366|2417|-4737|-719|"UGC     984"||710.0|1.3791|-1.7775
5260|130.8322|-27.9933|331.4360|2.7661|-18.51|14.68|0.71|115|5|5029|5029|4412|-2402|243|"UGC     975"||825.0|1.3738|34.0992
5261|135.0497|-47.2339|312.7986|-3.0663|-19.20|34.30|0.41|120|-2|6605|6605|4481|-4840|-353|"IC     1698"||714.0|1.3783|14.5783
5264|136.7918|-52.6939|307.4497|-4.6737|-17.61|22.98|0.31|28|2|2448|2118|1284|-1676|-173|"NGC     532"|908|52.0|1.3776|9.0050
5268|130.9034|-28.3221|331.1200|2.6546|-20.07|37.92|0.30|108|3|4904|5170|4522|-2495|239|"NGC     523"||825.0|1.3749|33.7647
5271|135.0577|-47.2057|312.8273|-3.0687|-19.75|33.53|1.00||-5|6458|6458|4383|-4730|-346|"IC     1700"||714.0|1.3791|14.6050
5273|137.5140|-54.3435|305.8274|-5.2154|-15.88|8.58|0.62||9|2871|2260|1317|-1825|-205|"UGC 00989"||52.0|1.3813|7.3014
5275|142.0218|-63.1560|297.0141|-7.7365|-18.89|18.20|0.51|40|2|5527|5428|2443|-4792|-731|"NGC     538"||710.0|1.3814|-1.8106
5278|272.4191|-76.7729|260.3242|-15.5354|-19.02|32.43|0.23|68|1|6103|6103|-989|-5796|-1635|"NGC     549"||713.0|1.3872|-38.5267
5282|141.9741|-63.0136|297.1582|-7.7181|-18.56|14.64|0.30|58|1|4961|5371|2429|-4736|-721|"NGC     535"||710.0|1.3828|-1.6681
5283|140.1380|-59.9689|300.2308|-6.8532|-21.03|62.51|0.71|50|-5|5609|5503|2750|-4721|-657|"NGC     533"||711.0|1.3825|1.5000
5284|131.2754|-30.1826|329.3273|2.0559|-19.06|30.66|0.30|32|2|4800|4800|4126|-2447|172|"UGC     987"||825.0|1.3785|31.8767
5289|142.0432|-63.1031|297.0672|-7.7474|-18.31|15.22|0.25|107|-1|5840|5459|2461|-4817|-736|"UGC     996"||710.0|1.3831|-1.7628
5290|131.0172|-28.6639|330.7968|2.5045|-19.73|26.30|0.63|55|-2|5024|5182|4519|-2526|226|"NGC     528"||825.0|1.3789|33.4119
5299|130.8658|-27.6306|331.7995|2.7912|-20.37|19.73|0.91|160|-4|5009|5009|4409|-2365|244|"NGC     529"||825.0|1.3806|34.4536
5300|140.1635|-59.8134|300.3875|-6.8638|-18.06|12.90|0.35|79||6198|5562|2793|-4764|-665|||711.0|1.3858|1.6467
5301|261.4899|-79.3643|263.8452|-15.0733|-18.43|16.49|0.50|141|-4|5518|5518|-572|-5297|-1435|"MCG -6- 4- 32"||713.0|1.3900|-35.0994
5305|142.0783|-62.9691|297.2021|-7.7663|-20.59|33.10|0.91||-4|5498|5425|2457|-4781|-733|"NGC     541"||710.0|1.3865|-1.6392
5307|142.1267|-63.0429|297.1271|-7.7866|-18.77|15.42|0.32|121|-3|5292|5404|2441|-4765|-732|"UGC    1003"||710.0|1.3864|-1.7161
5309|134.3074|-43.9231|316.0351|-2.1843|-19.36|29.98|0.79|90||8541|8541|6142|-5926|-326|"IC     1701"||914.0|1.3858|17.9278
5311|142.0712|-62.8795|297.2925|-7.7652|-19.49|10.93|0.45|90|-2|5352|5410|2458|-4764|-731|"NGC     543"||710.0|1.3880|-1.5525
5316|140.4485|-60.1871|300.0127|-7.0104|-18.41|17.71|0.91|21|3|5901|5532|2746|-4755|-675|"UGC    1006"||711.0|1.3884|1.2486
5321|134.7579|-45.4760|314.5270|-2.6778|-18.81|15.49|0.83|170|7|4312|4312|3020|-3071|-201|"IC     1702"||717.5|1.3876|16.3425
5323|142.1799|-62.9142|297.2564|-7.8138|-20.91|43.55|0.69|55|-4|5396|5415|2456|-4769|-736|"NGC     545"||710.0|1.3906|-1.6000
5324|142.1958|-62.9169|297.2535|-7.8210|-20.67|30.93|0.91|85|-4|5579|5433|2464|-4785|-739|"NGC     547"||710.0|1.3910|-1.6047
5326|142.1358|-62.8003|297.3718|-7.7965|-19.01|15.83|0.87|135|-3|5466|5422|2469|-4771|-736|"NGC     548"||710.0|1.3915|-1.4853
5327|128.5421|-11.8730|347.1254|7.2745|-19.03|14.03|0.36|81|6|6320|6320|6111|-1397|800|UGC1000|-1|862.0|1.3846|50.3608
5328|136.3398|-50.5250|309.5958|-4.2214|-19.51|13.07|0.58|128|7|5902|5902|3751|-4536|-434|"IC      112"||714.0|1.3901|11.1842
5329|144.0587|-65.3971|294.7157|-8.5275|-16.74|9.58|0.54|105|8|2038|1721|711|-1546|-255|"MCG -1- 4- 42"||52.0|1.3919|-4.2142
5333|131.2173|-28.9067|330.5826|2.2949|-18.44|8.16|0.52|||5261|5206|4531|-2555|208|"MK     1155"||825.0|1.3897|33.1456
5338|290.9788|-63.6582|245.4208|-17.1388|-19.40|20.06|0.78|163|5|8848|8848|-3517|-7689|-2607|"ESO  152-  2"|||1.4044|-52.9131
5340|131.0074|-27.5704|331.8779|2.6760|-18.54|19.38|0.24|34|1|4807|4807|4235|-2264|224|"NGC     531"||825.0|1.3913|34.4944
5341|145.9910|-67.3713|292.6629|-9.1448|-18.05|14.32|0.15|21|6|2001|1701|647|-1550|-270|"MCG -1- 4- 44"|895|52.0|1.3967|-6.3333
5343|136.9746|-51.9581|308.2241|-4.7375|-16.06|10.64|0.48|150|-2|2363|2246|1385|-1759|-186|"IC      114"||52.0|1.3953|9.6989
5344|131.0278|-27.6194|331.8321|2.6509|-20.41|42.93|0.35|62|3|5338|5338|4701|-2518|247|"NGC     536"||825.0|1.3921|34.4433
5345|138.4062|-55.5412|304.6544|-5.7931|-16.90|7.31|0.91||8|2210|2179|1233|-1784|-220|"UGC    1014"|901|52.0|1.3964|6.0178
5351|142.5991|-63.1674|296.9955|-7.9968|-18.71|22.94|0.56|45|0|5601|5435|2443|-4796|-756|"NGC     557"||710.0|1.3978|-1.8981
5354|127.1927|-1.7939|357.0582|9.9093|-16.86|5.81||||1079|1003|988|-51|173||-1|65.0|1.3861|60.5283
5356|140.7988|-60.1874|300.0417|-7.1876|-18.01|10.33||||5282|5282|2623|-4537|-661|"CGCG 385-137"||711.0|1.3993|1.2008
5362|188.7027|-81.1499|275.6660|-13.1890|-20.26|25.41|0.91|29|4|5490|5490|527|-5319|-1253|"ESO  476-  8"||713.0|1.4030|-23.4856
5374|140.5699|-59.6369|300.5675|-7.0668|-20.11|25.01|0.46|120|2|5894|5531|2791|-4726|-680|"NGC     550"||711.0|1.4021|1.7625
5375|201.9868|-81.8888|273.5682|-13.6316|-15.63|6.26|0.35|25|7|1583|1517|92|-1472|-358|"ESO  476- 10"|923|52.0|1.4056|-25.5733
5377|144.1087|-64.9112|295.2049|-8.5776|-18.05|10.77|0.76|107|-5|5843|5843|2460|-5228|-871|"IC     1705"||711.0|1.4035|-3.7606
5378|163.6724|-77.0125|281.8820|-11.9023|-19.52|15.32|0.65|||6022|6022|1213|-5766|-1242|"MCG -3- 4- 66"||712.0|1.4050|-17.2833
5379|142.5472|-62.8262|297.3406|-7.9837|-18.33|8.84|0.43||5|5076|5383|2448|-4736|-748|"MCG  0- 4-147"||710.0|1.4029|-1.5653
5380|142.3860|-62.5022|297.6700|-7.9186|-18.57|7.50|0.83||-2|4906|5366|2468|-4707|-739|"MCG  0- 4-148"||710|1.4046|-1.2339
5382|134.8443|-44.7872|315.2191|-2.6631|-17.04|8.13|0.37|52|4|2651|2211|1568|-1556|-103|"UGC    1020"||52.0|1.4008|17.0072
5389|145.3033|-66.2635|293.8046|-8.9742|-19.35|14.15|0.65||9|5563|5563|2217|-5028|-868|"IC      116"||711.0|1.4050|-5.2000
5394|141.8382|-61.5757|298.6101|-7.6816|-18.35|7.18|1.00|||5631|5631|2672|-4899|-753|"MCG  0- 4-149"||822.0|1.4062|-0.2728
5397|159.3141|-75.4584|283.7499|-11.5261|-18.29|22.05|0.44|145|6|5728|5728|1334|-5452|-1145|"MCG -3- 4- 67"||712.0|1.4083|-15.4167
5398|130.4371|-23.3357|335.9952|3.8161|-19.21|15.85|0.89|110|5|5685|5685|5182|-2308|378|"UGC    1022"||825.0|1.4011|38.7586
5399|135.2908|-46.0354|314.0095|-3.1069|-18.66|10.24|0.85||5|6239|6239|4328|-4481|-338|"CGCG 459- 55"||714.0|1.4055|15.7219
5401|131.3140|-28.3365|331.1595|2.2950|-17.73|6.16|0.65||4|4307|4307|3770|-2076|172|"MCG  6- 4- 26"||825.0|1.4033|33.6961
5402|151.0619|-71.1671|288.5935|-10.3775|-19.86|22.70|0.66|125|-2|6930|6930|2173|-6461|-1248|"NGC     567"||754.0|1.4092|-10.5247
5403|134.5980|-43.4659|316.5138|-2.3407|-18.92|15.90|0.79||0|5970|5970|4327|-4105|-244|"UGC    1025"||714.0|1.4063|18.3381
5404|264.1440|-78.4379|262.8467|-15.5106|-18.66|18.74|0.49|80|5|5988|5988|-719|-5725|-1601|"ESO  353-  2"||713.0|1.4139|-36.1167
5411|135.6968|-47.2084|312.8682|-3.5010|-19.82|20.33|0.71|165|4|6498|6498|4412|-4754|-397|||714.0|1.4082|14.5169
5418|140.6368|-59.3728|300.8339|-7.0988|-18.73|15.18|0.50|12|5|6302|5572|2834|-4748|-689|"UGC    1028"||711.0|1.4091|2.0078
5422|181.5182|-80.2590|277.1587|-13.0396|-19.16|14.80|0.95||-2|5558|5558|674|-5373|-1254|"ESO  542- 15"||712.0|1.4139|-22.0317
5424|142.8028|-62.7511|297.4127|-8.1029|-18.46|16.41|0.59|177|-4|4908|5366|2445|-4716|-756|"UGC    1030"||710.0|1.4120|-1.5286
5425|143.2762|-63.4190|296.7301|-8.2915|-18.34|7.34|0.47|110|-3|5009|5376|2392|-4752|-775|"NGC     558"||710.0|1.4120|-2.2300
5429|146.6841|-67.3059|292.7012|-9.4172|-18.50|10.12|0.62|||6304|6304|2400|-5737|-1031|"MCG -1- 4- 51"||712.0|1.4150|-6.3667
5430|143.3173|-63.3523|296.7967|-8.3128|-19.70|30.22|0.31|178|-2|5563|5432|2423|-4798|-785|"NGC     560"||710.0|1.4146|-2.1722
5435|134.5927|-42.8744|317.1015|-2.2698|-19.37|9.23|0.81|10|2|5124|5124|3750|-3486|-203|"UGC    1032"||717.5|1.4140|18.9197
5436|142.8708|-62.5685|297.5959|-8.1403|-18.23|19.15|0.19|34|0|4544|5330|2444|-4676|-755|"UGC    1040"||710.0|1.4174|-1.3639
5440|131.8822|-30.6885|328.9028|1.4646|-19.01|36.00|0.17|133|6|4177|4177|3575|-2157|107|"UGC    1033"||825.0|1.4128|31.2956
5441|147.0035|-67.4931|292.4989|-9.5185|-15.47|2.45|0.72|||1639|1458|550|-1328|-241|"MK      996"||52.0|1.4179|-6.5856
5449|142.9528|-62.5927|297.5703|-8.1772|-18.64|15.07|0.89||-3|5299|5405|2476|-4743|-769|"UGC    1043"||710.0|1.4194|-1.3983
5450|130.8939|-25.1282|334.2811|3.1384|-19.82|28.41|0.44|140|4|5346|5346|4809|-2317|293|"NGC     551"||825.0|1.4134|36.9239
5455|143.4995|-63.2900|296.8559|-8.3973|-20.16|24.71|0.81|145|-5|5889|5464|2441|-4823|-798|"NGC     564"||710.0|1.4209|-2.1383
5457|129.0761|-13.6180|345.4591|6.5128|-18.76|26.09|0.55|20|3|6777|6777|6517|-1691|769|"UGC    1035"||862.0|1.4130|48.5606
5465|143.6714|-63.4340|296.7068|-8.4675|-18.86|20.04|0.48|77|0|5764|5452|2423|-4817|-803|"IC      119"||710.0|1.4228|-2.2992
5468|263.0416|-78.4182|263.0162|-15.6611|-19.81|27.90|0.63|137|-1|5626|5626|-659|-5377|-1519|"NGC     568"||713.0|1.4281|-35.9767
5469|141.0943|-59.4359|300.7712|-7.3319|-18.69|4.40|0.81|||5465|5465|2773|-4657|-697|"MCG  0- 4-155"||711.0|1.4229|1.8836
5473|131.8983|-30.2010|329.3875|1.5205|-19.60|22.50|0.30|143|5|6557|6557|5641|-3338|174|"UGC    1045"||836.0|1.4199|31.7744
5476|129.0632|-13.1935|345.8803|6.5852|-19.19|29.05|0.49|95|-2|6574|6574|6333|-1594|754|"UGC    1042"||862.0|1.4177|48.9825
5481|143.2953|-62.7169|297.4387|-8.3296|-19.14|20.05|0.32|36|0|4559|5331|2430|-4682|-772|"NGC     565"||710.0|1.4270|-1.5647
5483|262.6804|-78.4156|263.0749|-15.7066|-18.47|11.77|0.71|89|0|5696|5696|-662|-5443|-1542|"IC     1709"||713.0|1.4325|-35.9272
5489|131.5457|-27.9460|331.5759|2.1498|-19.29|22.07|0.93||2|4768|4768|4190|-2268|179|"NGC     561"||825.0|1.4245|34.0497
5492|141.0842|-59.0513|301.1590|-7.3264|-20.45|24.20|0.59|108|5|9089|9089|4664|-7715|-1159|"IC      121"||754.0|1.4297|2.2547
5494|263.6651|-78.1620|262.7502|-15.7879|-18.84|18.96|0.65|32|-2|5402|5402|-656|-5157|-1470|"ESO  353-  5"||713.0|1.4353|-36.2481
5495|130.9291|-24.4036|335.0036|3.2134|-18.22|9.53|0.56|||5293|5293|4789|-2234|297|"CGCG 521- 34"||825.0|1.4253|37.6350
5498|144.3357|-63.9123|296.2076|-8.7355|-18.74|21.15|0.15|120|6|5128|5128|2238|-4548|-779|"MCG -1- 4- 54"||711.0|1.4314|-2.8464
5503|127.1087|0.5407|359.4044|10.2583|-15.04|2.35|0.50|||5744|5744|5652|-59|1023|ZOAG127.11+0.5|-1||1.4189|62.8528
5506|143.8241|-63.0855|297.0554|-8.5534|-18.43|19.77|0.34|157|2|6285|5504|2475|-4847|-819|"UGC    1055"||710.0|1.4344|-1.9900
5517|135.0616|-43.0022|317.0124|-2.6251|-19.81|21.11|0.71||0|8495|8495|6207|-5787|-389|"MCG  3- 4- 45"||914.0|1.4358|18.7283
5524|141.3545|-59.0806|301.1294|-7.4653|-19.62|12.63|0.65|||9244|9244|4738|-7846|-1201|"IC      123"||754.0|1.4380|2.1881
5527|136.6108|-48.0804|312.0532|-4.1927|-19.16|28.04|0.32|153|4|6492|6492|4336|-4808|-475|"UGC    1057"||714.0|1.4371|13.5358
5529|246.1275|-80.5061|266.8479|-15.2961|-18.81|12.31|0.76|70|5|6234|6234|-331|-6004|-1645|"MCG -5- 4- 40"||713.0|1.4437|-32.2711
5535|289.3394|-64.5252|246.5450|-17.4744|-17.68|7.94|0.81|18|-2|3051|3051|-1159|-2670|-916|"NGC     576"||62.0|1.4481|-51.8611
5539|143.4711|-62.3146|297.8416|-8.4276|-19.97|28.20|0.72|175|1|5546|5430|2508|-4750|-796|"NGC     570"||710.0|1.4404|-1.2072
5540|143.2195|-61.9457|298.2190|-8.3250|-19.77|21.88|0.52|60|0|5528|5428|2539|-4733|-786|"UGC    1062"||710.0|1.4405|-0.8200
5542|130.8053|-22.8896|336.4874|3.5470|-19.19|13.27|0.42||3|8269|8269|7568|-3293|512|"MCG  6- 4- 30"||836.0|1.4356|39.1483
5544|261.8414|-78.3440|263.1726|-15.8642|-18.94|15.95|0.72|2|3|5718|5718|-654|-5461|-1563|"NGC     574"||713.0|1.4464|-35.8564
5545|132.0912|-29.8704|329.7386|1.4022|-19.12|25.64|0.26|178|-2|5540|5540|4783|-2791|136|"NGC     566"||825.0|1.4371|32.0733
5548|137.6064|-50.6641|309.5175|-5.0337|-19.20|17.14|0.49|163|4|5870|5870|3720|-4511|-515|"NGC     569"||714.0|1.4413|10.8728
5549|130.8114|-22.7380|336.6385|3.5635|-19.30|12.67|0.81|||8268|8268|7575|-3273|514|"CGCG 521- 37"||836.0|1.4382|39.2972
5550|130.8353|-22.8652|336.5156|3.5231|-19.93|37.20|0.59|97|4|8417|8417|7705|-3349|517|"UGC    1059"||836.0|1.4384|39.1681
5551|134.9681|-42.2755|317.7281|-2.4777|-18.47|11.29|0.45||4|5097|5097|3768|-3426|-220|"MCG  3- 4- 47"||717.5|1.4411|19.4544
5565|295.0146|-55.0767|236.2026|-17.8591|-20.02|24.92|0.76|63|-4|8533|8533|-4518|-6749|-2617|"ESO  113- 50"||768.0|1.4611|-61.7214
5568|129.1519|-12.0229|347.0595|6.6628|-19.72|24.23|1.00||9|6012|6012|5820|-1338|698|UGC1064|-1|862.0|1.4440|50.1281
5574|144.0596|-62.5295|297.6113|-8.6894|-19.16|23.84|0.66|68|-2|5190|5394|2471|-4725|-815|"UGC    1072"||710.0|1.4530|-1.4969
5579|129.9176|-16.7524|342.4567|5.2622|-19.96|27.41|0.60|30|6|5402|5402|5129|-1622|495|"UGC    1068"||860.0|1.4465|45.3408
5580|135.9375|-44.9748|315.1115|-3.4529|-18.71|11.00|0.76||5|6111|6111|4321|-4305|-368|"CGCG 459- 64"||714.0|1.4511|16.6692
5581|148.9850|-67.8900|292.0005|-10.2128|-15.67|7.58|0.27|65|3|2031|1714|632|-1564|-304|"IC      127"||52.0|1.4547|-7.2372
5582|128.9030|-10.4918|348.5881|7.0910|-17.35|18.83|0.22|87|3|5882|5882|5721|-1155|726|"UGC    1067"||862.0|1.4422|51.6789
5583|145.1505|-63.8616|296.2344|-9.0967|-19.50|20.37|1.00||5|6077|6077|2652|-5383|-961|"MCG -1- 4- 56"||711.0|1.4550|-2.9167
5584|278.0986|-72.9174|256.2538|-16.8602|-19.77|26.45|0.41|44|5|7533|7533|-1714|-7003|-2185|"ESO  244- 30"||713.0|1.4614|-42.5667
5587|132.2706|-29.6724|329.9565|1.2758|-18.41|20.72|0.95||5|4798|4798|4152|-2402|107|"NGC     571"||825.0|1.4518|32.2425
5589|130.7321|-21.3133|338.0404|3.8430|-18.61|14.92|0.69|55|5|2963|2807|2597|-1048|188|"UGC    1070"||64.5|1.4512|40.7158
5591|146.9040|-65.7665|294.2440|-9.6688|-18.26|11.71||||5646|5646|2285|-5075|-948|||711|1.4575|-4.9619
5597|278.6336|-72.5678|255.8609|-16.9384|-20.24|29.30|0.71|87|5|6630|6630|-1550|-6150|-1932|"ESO  244- 31"||713.0|1.4650|-42.9486
5600|133.7243|-36.1947|323.6548|-0.8023|-18.39|19.26|0.63|163|8|3795|3795|3056|-2249|-53|"UGC    1073"||52.0|1.4558|25.6075
